trade_date,gross_purchase_fii,gross_sales_fii,net_purchase_sales_fii,gross_purchase_dii,gross_sales_dii,net_purchase_sales_dii
2007-04-30,43647.59,41913.05,1734.54,10137.73,9280.07,857.66
2007-05-31,46316.28,46436.25,-119.97,21959.33,18974.43,2984.90
2007-06-30,45673.87,47035.12,-1361.25,19374.66,14814.40,4560.26
2007-07-31,69757.41,61888.56,7868.85,23643.81,24231.23,-587.42
2007-08-31,52479.43,64817.90,-12338.47,26496.41,17347.14,9149.27
2007-09-30,67664.52,51306.56,16357.96,21424.73,26188.40,-4763.67
2007-10-31,122384.57,114368.33,8016.24,34703.35,36055.53,-1352.18
2007-11-30,83268.52,96957.78,-13689.26,31937.20,23383.79,8553.41
2007-12-31,71453.70,78273.50,-6819.80,29495.28,24543.14,4952.14
2008-01-31,97579.50,127027.01,-29447.51,44638.58,28223.89,16414.69
2008-02-29,64267.47,68318.59,-4051.12,24064.99,20056.65,4008.34
2008-03-31,68472.59,72236.39,-3763.80,23606.43,20658.92,2947.51
2008-04-30,59546.97,62083.85,-2536.88,21678.24,18277.26,3400.98
2008-05-31,58982.92,65678.51,-6695.59,26254.47,17976.44,8278.03
2008-06-30,60693.06,73360.22,-12667.16,23754.33,15126.36,8627.97
2008-07-31,62050.69,66654.69,-4604.00,23217.26,21690.07,1527.19
2008-08-31,44460.52,49916.64,-5456.12,17813.52,14841.14,2972.38
2008-09-30,65932.27,78435.01,-12502.74,25415.62,16202.66,9212.96
2008-10-31,48413.60,64067.10,-15653.50,26254.38,15458.08,10796.30
2008-11-30,28093.92,33552.88,-5458.96,15196.15,12322.00,2874.15
2008-12-31,29362.68,28327.87,1034.81,16472.77,14566.49,1906.28
2009-01-31,28447.81,33620.63,-5172.82,18644.12,14925.98,3718.14
2009-02-28,22066.26,24899.69,-2833.43,13438.92,10664.36,2774.56
2009-03-31,31646.90,32330.47,-683.57,19256.22,15304.69,3951.53
2009-04-30,38871.53,33311.43,5560.10,17871.64,18653.97,-782.33
2009-05-31,73016.96,59130.87,13886.09,27344.70,27427.15,-82.45
2009-06-30,61767.47,61852.61,-85.14,35173.50,32539.72,2633.78
2009-07-31,58990.29,60354.89,-1364.60,34970.99,29152.01,5818.98
2009-08-31,45722.53,49489.56,-3767.03,28621.60,23636.89,4984.71
2009-09-30,62872.65,49541.22,13331.43,27261.52,26565.48,696.04
2009-10-31,63964.86,63964.73,0.13,30578.81,30626.32,-47.51
2009-11-30,48761.93,47053.86,1708.07,28355.29,25964.25,2391.04
2009-12-31,45029.99,40789.13,4240.86,26326.09,26276.42,49.67
2010-01-31,56109.18,63325.85,-7216.67,39004.29,26782.26,12222.03
2010-02-28,39001.43,40944.90,-1943.47,21547.80,20235.85,1311.95
2010-03-31,59692.57,44900.24,14792.33,25818.47,30954.32,-5135.85
2010-04-30,55061.05,52393.68,2667.37,26283.22,24092.56,2190.66
2010-05-31,49588.04,61659.16,-12071.12,29971.71,23610.52,6361.19
2010-06-30,51878.01,44164.06,7713.95,23549.21,28326.26,-4777.05
2010-07-31,52571.21,44030.15,8541.06,24776.03,31047.95,-6271.92
2010-08-31,56120.24,48582.94,7537.30,24770.34,29323.02,-4552.68
2010-09-30,74920.16,52444.52,22475.64,24046.54,35913.17,-11866.63
2010-10-31,77706.10,63318.04,14388.06,28069.00,39881.90,-11812.90
2010-11-30,79726.26,74375.39,5350.87,32674.49,30205.67,2468.82
2010-12-31,52683.49,53405.68,-722.19,24798.87,24163.88,634.99
2011-01-31,57526.07,66429.67,-8903.60,29176.33,23939.19,5237.14
2011-02-28,57097.91,64311.30,-7213.39,27598.55,21567.65,6030.90
2011-03-31,52192.02,44215.13,7976.89,23972.23,24010.16,-37.93
2011-04-30,49090.25,49085.85,4.40,19996.44,20554.71,-558.27
2011-05-31,53777.46,57482.83,-3705.37,25090.68,20997.47,4093.21
2011-06-30,53473.22,50810.46,2662.76,21175.88,21275.54,-99.66
2011-07-31,50802.29,46520.79,4281.50,25153.30,25123.23,30.07
2011-08-31,45395.78,56954.98,-11559.20,28430.65,20439.54,7991.11
2011-09-30,50283.64,53372.51,-3088.87,21240.18,19493.09,1747.09
2011-10-31,44233.02,42390.55,1842.47,19216.41,21333.05,-2116.64
2011-11-30,43094.11,49602.82,-6508.71,25235.59,19274.85,5960.74
2011-12-31,38711.73,41098.87,-2387.14,18900.48,17972.47,928.01
2012-01-31,52903.37,43434.23,9469.14,20327.33,27057.15,-6729.82
2012-02-29,76648.78,53412.40,23236.38,24653.67,36195.05,-11541.38
2012-03-31,63999.11,57472.38,6526.73,21594.97,25085.70,-3490.73
2012-04-30,37723.69,39387.05,-1663.36,19033.07,18250.06,783.01
2012-05-31,46301.71,49057.97,-2756.26,20906.69,20199.47,707.22
2012-06-30,40956.28,38161.60,2794.68,19437.49,18334.74,1102.75
2012-07-31,47179.02,41276.07,5902.95,19252.18,24522.85,-5270.67
2012-08-31,45533.62,37786.51,7747.11,19133.72,23542.35,-4408.63
2012-09-30,68789.70,47981.89,20807.81,23131.13,32283.33,-9152.20
2012-10-31,52306.07,43863.14,8442.93,19653.76,24348.87,-4695.11
2012-11-30,43328.18,37036.67,6291.51,12145.65,16347.07,-4201.42
2012-12-31,58290.81,43924.32,14366.49,19385.77,28288.88,-8903.11
2013-01-31,74013.68,54815.80,19197.88,23690.75,39898.07,-16207.32
2013-02-28,67980.27,58447.24,9533.03,19148.86,27967.36,-8818.50
2013-03-31,65561.74,56138.67,9423.07,19101.35,26973.80,-7872.45
2013-04-30,55439.86,50798.29,4641.57,17292.29,20290.56,-2998.27
2013-05-31,70499.57,56033.67,14465.90,19423.80,31476.23,-12052.43
2013-06-30,54317.73,65743.14,-11425.41,28336.69,19909.27,8427.42
2013-07-31,61815.09,62229.57,-414.48,28396.17,29937.02,-1540.85
2013-08-31,70692.60,78163.07,-7470.47,31033.50,24748.78,6284.72
2013-09-30,68120.40,56944.35,11176.05,19922.39,29052.46,-9130.07
2013-10-31,60286.13,42730.57,17555.56,17529.64,29940.35,-12410.71
2013-11-30,52448.11,45491.74,6956.37,15067.67,24214.84,-9147.17
2013-12-31,61150.68,47684.69,13465.99,20367.10,27953.16,-7586.06
2014-01-31,65566.26,66832.14,-1265.88,25688.41,27143.88,-1455.47
2014-02-28,51761.74,50341.84,1419.90,20369.86,19702.17,667.69
