Date,Symbol,Client Name,net_value,action
01-Apr-25,GALAXYSURF,ICICI PRUDENTIAL MUTUAL FUND,622370000.0,BUY
01-Apr-25,HBLENGINE,GRAVITON RESEARCH CAPITAL LLP,2795025127.1,BUY
01-Apr-25,HBLENGINE,QE SECURITIES LLP,1710485430.8,BUY
01-Aug-25,BELRISE,S R FOUNDATION,633570500.0,BUY
01-Aug-25,DBSTOCKBRO,RIMPY MITTAL,31065736.450000003,BUY
01-Aug-25,DIGIDRIVE,LAKHUBHA SOLANKI,20275724.0,BUY
01-Aug-25,JAYNECOIND,ASSETS CARE AND RECONSTRUCTION ENTERPRISE LIMITED,2524000000.0,BUY
01-Aug-25,JAYNECOIND,CRONY VYAPAR PVT LTD,520345061.79,BUY
01-Aug-25,JAYNECOIND,F3 ADVISORS PRIVATE LIMITED,579386971.01,BUY
01-Aug-25,JAYNECOIND,GRAVITON RESEARCH CAPITAL LLP,682616561.34,BUY
01-Aug-25,JAYNECOIND,HRTI PRIVATE LIMITED,949283374.38,BUY
01-Aug-25,JAYNECOIND,ISHAAN TRADEFIN LLP,617986302.69,BUY
01-Aug-25,JAYNECOIND,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,1369953220.34,BUY
01-Aug-25,JAYNECOIND,NEO APEX VENTURE LLP,935937037.12,BUY
01-Aug-25,JAYNECOIND,QE SECURITIES LLP,562272442.99,BUY
01-Aug-25,JAYNECOIND,SETU SECURITIES PRIVATE LIMITED,303960000.0,BUY
01-Aug-25,JAYNECOIND,SHARE INDIA SECURITIES LIMITED,657258195.22,BUY
01-Aug-25,JAYNECOIND,SSPL SECURITIES PRIVATE LIMITED,348950000.0,BUY
01-Aug-25,NELCAST,GRAVITON RESEARCH CAPITAL LLP,272849670.38,BUY
01-Aug-25,NELCAST,NK SECURITIES RESEARCH PRIVATE LIMITED,195196277.64,BUY
01-Aug-25,NELCAST,QE SECURITIES LLP,177087208.84,BUY
01-Aug-25,NETWEB,GRAVITON RESEARCH CAPITAL LLP,3650508259.8199997,BUY
01-Aug-25,NETWEB,HRTI PRIVATE LIMITED,1680396830.86,BUY
01-Aug-25,NETWEB,QE SECURITIES LLP,1406535689.6399999,BUY
01-Aug-25,PNBHOUSING,GRAVITON RESEARCH CAPITAL LLP,4068348880.3199997,BUY
01-Aug-25,PNBHOUSING,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,2231783530.3500004,BUY
01-Aug-25,PRICOLLTD,GRAVITON RESEARCH CAPITAL LLP,598980232.4399999,BUY
01-Aug-25,RACE,RUNIT EXIM PRIVATE LIMITED,34980172.06,BUY
01-Aug-25,SELLOWRAP,CORE INC,36000000.0,BUY
01-Aug-25,SELLOWRAP,MERU INVESTMENT FUND PCC- CELL 1,45072000.0,BUY
01-Aug-25,SHANTIGOLD,AAKRAYA RESEARCH LLP,318570664.28,BUY
01-Aug-25,SHANTIGOLD,ASTORNE CAPITAL VCC ARVEN,103738500.0,BUY
01-Aug-25,SHANTIGOLD,BHARAT KUMAR SOMCHAND SHAH,170714137.44,BUY
01-Aug-25,SHANTIGOLD,BINACA LIMITED,104193000.0,BUY
01-Aug-25,SHANTIGOLD,IRAGE BROKING SERVICES LLP,205356833.17,BUY
01-Aug-25,SHANTIGOLD,L7 HITECH PRIVATE LIMITED,267423599.0,BUY
01-Aug-25,SHANTIGOLD,L7 SECURITIES PRIVATE LIMITED,281400180.0,BUY
01-Aug-25,SHANTIGOLD,LKP FINANCE LIMITED,365047691.47,BUY
01-Aug-25,SHANTIGOLD,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,516385044.35,BUY
01-Aug-25,SHANTIGOLD,SHARE INDIA SECURITIES LIMITED,175840951.38,BUY
01-Aug-25,SHANTIGOLD,SOUMIK ACHARYA BHADURI,241229832.96,BUY
01-Aug-25,SKIPPER,GRAVITON RESEARCH CAPITAL LLP,654883791.98,BUY
01-Aug-25,SKIPPER,QE SECURITIES LLP,620348063.23,BUY
01-Aug-25,VIMTALABS,AAKRAYA RESEARCH LLP,796695151.63,BUY
01-Aug-25,VIMTALABS,HRTI PRIVATE LIMITED,975012710.73,BUY
01-Aug-25,VIMTALABS,IRAGE BROKING SERVICES LLP,330114402.88,BUY
01-Aug-25,VIMTALABS,JUNOMONETA FINSOL PRIVATE LIMITED,476715110.62,BUY
01-Aug-25,VIMTALABS,QE SECURITIES LLP,582884710.75,BUY
01-Aug-25,ZUARI,AAKRAYA RESEARCH LLP,233666495.55,BUY
01-Aug-25,ZUARI,DIPAN MEHTA COMMODITIES PRIVATE LIMITED,163513793.64999998,BUY
01-Aug-25,ZUARI,HRTI PRIVATE LIMITED,459195636.32,BUY
01-Aug-25,ZUARI,KIVI CAPITAL,212728452.71999997,BUY
01-Aug-25,ZUARI,QE SECURITIES LLP,190660972.91000003,BUY
01-Feb-25,INOXWIND,GRAVITON RESEARCH CAPITAL LLP,2466145961.85,BUY
01-Feb-25,JWL,AAKRAYA RESEARCH LLP,1980663209.04,BUY
01-Feb-25,JWL,HRTI PRIVATE LIMITED,1942332803.87,BUY
01-Feb-25,MOBIKWIK,HRTI PRIVATE LIMITED,325902700.24,BUY
01-Feb-25,TITAGARH,GRAVITON RESEARCH CAPITAL LLP,2485901427.24,BUY
01-Feb-25,ZENSARTECH,GRAVITON RESEARCH CAPITAL LLP,3729748388.26,BUY
01-Jan-25,3IINFOLTD,MANSI SHARE AND STOCK ADVISORS PVT LTD,48051433.43000001,BUY
01-Jan-25,APOLLO,HRTI PRIVATE LIMITED,461324999.13,BUY
01-Jan-25,AVALON,PARTH INFIN BROKERS PVT LTD,712686262.24,BUY
01-Jan-25,BAJAJHCARE,HRTI PRIVATE LIMITED,447525091.65999997,BUY
01-Jan-25,CAMLINFINE,GRAVITON RESEARCH CAPITAL LLP,244350060.26000002,BUY
01-Jan-25,DCI,KETAN CHHAGANLAL PATEL,33971544.1,BUY
01-Jan-25,DCI,SAHASTRAA ADVISORS PRIVATE LIMITED,34052032.3,BUY
01-Jan-25,GANGAFORGE,SMITAL SURESH THAKKAR,28494002.23,BUY
01-Jan-25,GREAVESCOT,HRTI PRIVATE LIMITED,617505138.0999999,BUY
01-Jan-25,MOBIKWIK,AAKRAYA RESEARCH LLP,2287510576.8,BUY
01-Jan-25,MOBIKWIK,ALPHAGREP SECURITIES PRIVATE LIMITED,977082612.75,BUY
01-Jan-25,MOBIKWIK,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,824525242.48,BUY
01-Jan-25,MOBIKWIK,GRAVITON RESEARCH CAPITAL LLP,797694027.8599999,BUY
01-Jan-25,MOBIKWIK,HRTI PRIVATE LIMITED,884359938.79,BUY
01-Jan-25,MOBIKWIK,MICROCURVES TRADING PRIVATE LIMITED,503804344.22,BUY
01-Jan-25,MOBIKWIK,NK SECURITIES RESEARCH PRIVATE LIMITED,553274590.5,BUY
01-Jan-25,MOBIKWIK,QE SECURITIES LLP,758547458.3199999,BUY
01-Jan-25,PROZONER,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,63412272.0,BUY
01-Jan-25,PROZONER,SARASWATI COMMERCIAL (INDIA) LTD,63376801.7,BUY
01-Jan-25,RESPONIND,BRENZETT LIMITED,498040000.0,BUY
01-Jan-25,RNFI,CHARTERED FINANCE & LEASI NG LIMITED,51787008.0,BUY
01-Jan-25,TANLA,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,1026525098.38,BUY
01-Jan-25,TANLA,GRAVITON RESEARCH CAPITAL LLP,2211460674.5,BUY
01-Jan-25,TANLA,NK SECURITIES RESEARCH PRIVATE LIMITED,1699231195.54,BUY
01-Jan-25,TANLA,QE SECURITIES LLP,1098495667.78,BUY
01-Jan-25,UNIVASTU,C P KHANDELWAL,20269440.0,BUY
01-Jan-25,VIPCLOTHNG,ADITINIRAVSATRA,21112066.25,BUY
01-Jul-25,ELLEN,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,611620526.4100001,BUY
01-Jul-25,ELLEN,MOTILAL OSWAL MUTUAL FUND,1070845986.9000001,BUY
01-Jul-25,GLOBECIVIL,OM TRADING,59362657.31999999,BUY
01-Jul-25,GLOBECIVIL,SOHAM FINCARE INDIA LLP,34710000.0,BUY
01-Jul-25,HBLENGINE,GRAVITON RESEARCH CAPITAL LLP,1936673043.8600001,BUY
01-Jul-25,KAJARIACER,JP MORGAN FUNDS,945075935.7600001,BUY
01-Jul-25,MOBIKWIK,HRTI PRIVATE LIMITED,251241998.18,BUY
01-Jul-25,PIGL,NEO APEX VENTURE LLP,22757460.0,BUY
01-Jul-25,PROSTARM,CHHATISGARH INVESTMENTS LIMITED,44235000.0,BUY
01-Jul-25,PROSTARM,HRTI PRIVATE LIMITED,103129333.16,BUY
01-Jul-25,PROSTARM,MATHISYS ADVISORS LLP,97929354.84,BUY
01-Jul-25,PROSTARM,QE SECURITIES LLP,105954526.91999999,BUY
01-Jul-25,QUICKHEAL,GRAVITON RESEARCH CAPITAL LLP,314187221.25,BUY
01-Jul-25,RAYMOND,ALPHAGREP SECURITIES PRIVATE LIMITED,660137670.99,BUY
01-Jul-25,RAYMOND,ARHAM WEALTH MANAGEMENT PRIVATE LIMITED,617403623.4000001,BUY
01-Jul-25,RAYMOND,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,644805519.8399999,BUY
01-Jul-25,RAYMOND,GRAVITON RESEARCH CAPITAL LLP,1721029385.25,BUY
01-Jul-25,RAYMOND,HRTI PRIVATE LIMITED,724725361.3199999,BUY
01-Jul-25,RAYMOND,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,821475872.1,BUY
01-Jul-25,RAYMOND,MUSIGMA SECURITIES,1150752686.72,BUY
01-Jul-25,RAYMOND,NK SECURITIES RESEARCH PRIVATE LIMITED,1585739643.6,BUY
01-Jul-25,RAYMOND,QE SECURITIES LLP,1122321869.81,BUY
01-Jul-25,RAYMONDREL,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,415035754.90000004,BUY
01-Jul-25,SAFEENTP,CINCO STOCK VISION LLP,52425000.0,BUY
01-Jul-25,SAFEENTP,SAMYAK ENTERPRISES,43687500.0,BUY
01-Jul-25,SAFEENTP,SHREESOMNIDHI INFRASOLUTIONS PRIVATE LIMITED,52425000.0,BUY
01-Jul-25,SIGACHI,HRTI PRIVATE LIMITED,176176690.69,BUY
01-Jul-25,SIGACHI,TRIPTI AGARWAL,321150825.51,BUY
01-Jul-25,SRD,OMKAR MUNDHRA,86624267.64,BUY
01-Nov-24,PAR,ECONO TRADING & INVESTMENT PRIVATE LIMITED,25101046.560000002,BUY
01-Oct-24,AARTECH,NAYAN SURESH GUPTA,24413889.41,BUY
01-Oct-24,DCW,EKTA  HALWASIYA,152640000.0,BUY
01-Oct-24,DECCANTRAN,MANSI SHARE AND STOCK ADVISORS PVT LTD,29141640.0,BUY
01-Oct-24,ENVIRO,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,25490440.0,BUY
01-Oct-24,FELIX,SRESTHA FINVEST LIMITED,55479420.0,BUY
01-Oct-24,INDIAGLYCO,GRAVITON RESEARCH CAPITAL LLP,563072554.66,BUY
01-Oct-24,JAYSREETEA,AAKRAYA RESEARCH LLP,67373685.57,BUY
01-Oct-24,JAYSREETEA,ARHAM WEALTH MANAGEMENT PRIVATE LIMITED,34299539.4,BUY
01-Oct-24,JAYSREETEA,HRTI PRIVATE LIMITED,52685671.620000005,BUY
01-Oct-24,JAYSREETEA,QE SECURITIES LLP,73001588.88,BUY
01-Oct-24,KFINTECH,GRAVITON RESEARCH CAPITAL LLP,2154983616.36,BUY
01-Oct-24,MAANALU,AAKRAYA RESEARCH LLP,170697983.57999998,BUY
01-Oct-24,MAANALU,ALPHAGREP SECURITIES PRIVATE LIMITED,133225898.52000001,BUY
01-Oct-24,MAANALU,HRTI PRIVATE LIMITED,92277140.96,BUY
01-Oct-24,MCLEODRUSS,ANURAG KUMAR CHOUDHARY,34410000.0,BUY
01-Oct-24,MCLEODRUSS,CRONY VYAPAR PVT LTD,110657456.09,BUY
01-Oct-24,MCLEODRUSS,MANJU GAGGAR,20670000.0,BUY
01-Oct-24,MCLEODRUSS,SANTOSH KUMAR GARG,21016389.3,BUY
01-Oct-24,NECLIFE,MARWADI SHARES AND FINANCE LTD.,59730000.0,BUY
01-Oct-24,PCJEWELLER,MANSI SHARE AND STOCK ADVISORS PVT LTD,927854113.5699999,BUY
01-Oct-24,RENUKA,GRAVITON RESEARCH CAPITAL LLP,1248998804.9,BUY
01-Oct-24,RENUKA,HRTI PRIVATE LIMITED,1251038621.12,BUY
01-Oct-24,SADBHAV,SETU SECURITIES PVT LTD,70675660.71000001,BUY
01-Oct-24,SAREGAMA,GRAVITON RESEARCH CAPITAL LLP,1337283429.9499998,BUY
01-Oct-24,SEQUENT,GRAVITON RESEARCH CAPITAL LLP,602931470.0999999,BUY
01-Oct-24,SEQUENT,HRTI PRIVATE LIMITED,542441664.45,BUY
01-Oct-24,STLTECH,JAINAM BROKING LIMITED,634312829.28,BUY
01-Oct-24,SUPREMEINF,MILLENNIUM STOCK BROKING PVT LTD,41707328.25,BUY
01-Oct-24,SUPREMEINF,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,26127500.0,BUY
01-Oct-24,VAKRANGEE,HRTI PRIVATE LIMITED,516222956.97,BUY
01-Oct-24,ZEEMEDIA,MANSI SHARE AND STOCK ADVISORS PVT LTD,450091209.84000003,BUY
01-Oct-24,ZEEMEDIA,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,251000100.4,BUY
01-Oct-24,ZEEMEDIA,VINOD DUGAR,93708000.0,BUY
01-Oct-25,ARSSBL,GRAVITON RESEARCH CAPITAL LLP,379009961.55,BUY
01-Oct-25,ATALREAL,ACME CAPITAL MARKET LIMITED,28463376.76,BUY
01-Oct-25,ATALREAL,VISHAL MAHESH WAGHELA,21562832.72,BUY
01-Oct-25,BMWVENTLTD,NEOMILE GROWTH FUND - SERIES I,39000000.0,BUY
01-Oct-25,CYBERTECH,ALPHAGREP SECURITIES PRIVATE LIMITED,76093401.15,BUY
01-Oct-25,CYBERTECH,JASVANTIBEN VELJI BABRIYA,119838000.89,BUY
01-Oct-25,CYBERTECH,KALPNA HETAN BABRIYA,124846936.0,BUY
01-Oct-25,DSSL,GRAVITON RESEARCH CAPITAL LLP,171209132.57,BUY
01-Oct-25,DSSL,HRTI PRIVATE LIMITED,133057069.28,BUY
01-Oct-25,DSSL,JASVANTIBEN VELJI BABRIYA,145059292.56,BUY
01-Oct-25,DSSL,KALPNA HETAN BABRIYA,135710649.89999998,BUY
01-Oct-25,ECOLINE,MANISH KIRITKUMAR SHAH (HUF),29603700.0,BUY
01-Oct-25,EIMCOELECO,NIVEZA SMALL CAP FUND,53777400.0,BUY
01-Oct-25,GLOBECIVIL,ASTORNE CAPITAL VCC ARVEN,41316000.0,BUY
